hgnc_symbol	ensembl_gene_id	Exists_in_GTEx_v8_mtDNA_trans_tests
ABCA9	ENSG00000154258	Yes
ABCB10	ENSG00000135776	Yes
ABCB6	ENSG00000115657	Yes
ABCB7	ENSG00000131269	No
ABCB8	ENSG00000197150	Yes
ABCD1	ENSG00000101986	No
ABCD2	ENSG00000173208	Yes
ABCD3	ENSG00000117528	Yes
ACOD1	ENSG00000102794	No
ADCY10	ENSG00000143199	Yes
AKAP1	ENSG00000121057	Yes
AKAP10	ENSG00000108599	Yes
BLOC1S1	ENSG00000135441	Yes
C1QBP	ENSG00000108561	Yes
CSKMT	ENSG00000214756	Yes
DELE1	ENSG00000081791	Yes
EFHD1	ENSG00000115468	Yes
FUNDC2	ENSG00000165775	No
IFI27	ENSG00000165949	Yes
LETM1	ENSG00000168924	Yes
LYPLA1	ENSG00000120992	Yes
MACROD1	ENSG00000133315	Yes
MAVS	ENSG00000088888	Yes
MCRIP2	ENSG00000172366	Yes
MCU	ENSG00000156026	Yes
MCUB	ENSG00000005059	Yes
MICU1	ENSG00000107745	Yes
MICU2	ENSG00000165487	Yes
MICU3	ENSG00000155970	Yes
MRS2	ENSG00000124532	Yes
MTCH1	ENSG00000137409	Yes
MTCH2	ENSG00000109919	Yes
MUL1	ENSG00000090432	Yes
NLRX1	ENSG00000160703	Yes
OCIAD2	ENSG00000145247	Yes
PDE2A	ENSG00000186642	Yes
PINK1	ENSG00000158828	Yes
PPIF	ENSG00000108179	Yes
PPTC7	ENSG00000196850	Yes
PRKACA	ENSG00000072062	Yes
RHOT1	ENSG00000126858	Yes
RHOT2	ENSG00000140983	Yes
SFXN1	ENSG00000164466	Yes
SFXN2	ENSG00000156398	Yes
SFXN3	ENSG00000107819	Yes
SFXN4	ENSG00000183605	Yes
SFXN5	ENSG00000144040	Yes
SIRT3	ENSG00000142082	Yes
SLC25A1	ENSG00000100075	Yes
SLC25A10	ENSG00000183048	Yes
SLC25A11	ENSG00000108528	Yes
SLC25A12	ENSG00000115840	Yes
SLC25A13	ENSG00000004864	Yes
SLC25A14	ENSG00000102078	No
SLC25A15	ENSG00000102743	Yes
SLC25A16	ENSG00000122912	Yes
SLC25A18	ENSG00000182902	Yes
SLC25A19	ENSG00000125454	Yes
SLC25A20	ENSG00000178537	Yes
SLC25A21	ENSG00000183032	Yes
SLC25A22	ENSG00000177542	Yes
SLC25A23	ENSG00000125648	Yes
SLC25A24	ENSG00000085491	Yes
SLC25A25	ENSG00000148339	Yes
SLC25A26	ENSG00000144741	Yes
SLC25A27	ENSG00000153291	Yes
SLC25A28	ENSG00000155287	Yes
SLC25A29	ENSG00000197119	Yes
SLC25A3	ENSG00000075415	Yes
SLC25A30	ENSG00000174032	Yes
SLC25A31	ENSG00000151475	Yes
SLC25A32	ENSG00000164933	Yes
SLC25A33	ENSG00000171612	Yes
SLC25A34	ENSG00000162461	Yes
SLC25A35	ENSG00000125434	Yes
SLC25A36	ENSG00000114120	Yes
SLC25A37	ENSG00000147454	Yes
SLC25A38	ENSG00000144659	Yes
SLC25A39	ENSG00000013306	Yes
SLC25A4	ENSG00000151729	Yes
SLC25A40	ENSG00000075303	Yes
SLC25A41	ENSG00000181240	Yes
SLC25A42	ENSG00000181035	Yes
SLC25A43	ENSG00000077713	No
SLC25A44	ENSG00000160785	Yes
SLC25A45	ENSG00000162241	Yes
SLC25A46	ENSG00000164209	Yes
SLC25A47	ENSG00000140107	Yes
SLC25A48	ENSG00000145832	Yes
SLC25A5	ENSG00000005022	No
SLC25A51	ENSG00000122696	Yes
SLC25A52	ENSG00000141437	Yes
SLC25A53	ENSG00000269743	No
SLC25A6	ENSG00000169100	No
SLC8B1	ENSG00000089060	Yes
SMDT1	ENSG00000183172	Yes
SPHKAP	ENSG00000153820	Yes
UCP1	ENSG00000109424	No
UCP2	ENSG00000175567	Yes
UCP3	ENSG00000175564	Yes
VDAC1	ENSG00000213585	Yes
VDAC3	ENSG00000078668	Yes
