Genes	MitoPathways_Hierarchy
ABHD11	Metabolism_Carbohydrate_metabolism
 ACAA2	Metabolism_Carbohydrate_metabolism
 ACAT1	Metabolism_Carbohydrate_metabolism
 ACLY	Metabolism_Carbohydrate_metabolism
 ACO2	Metabolism_Carbohydrate_metabolism
 ACOD1	Metabolism_Carbohydrate_metabolism
 AUH	Metabolism_Carbohydrate_metabolism
 BDH1	Metabolism_Carbohydrate_metabolism
 CLYBL	Metabolism_Carbohydrate_metabolism
 CS	Metabolism_Carbohydrate_metabolism
 D2HGDH	Metabolism_Carbohydrate_metabolism
 DCXR	Metabolism_Carbohydrate_metabolism
 DLAT	Metabolism_Carbohydrate_metabolism
 DLD	Metabolism_Carbohydrate_metabolism
 DLST	Metabolism_Carbohydrate_metabolism
 FAHD1	Metabolism_Carbohydrate_metabolism
 FH	Metabolism_Carbohydrate_metabolism
 GLYCTK	Metabolism_Carbohydrate_metabolism
 GOT2	Metabolism_Carbohydrate_metabolism
 GPD2	Metabolism_Carbohydrate_metabolism
 HADHB	Metabolism_Carbohydrate_metabolism
 HMGCL	Metabolism_Carbohydrate_metabolism
 HMGCS2	Metabolism_Carbohydrate_metabolism
 IDH2	Metabolism_Carbohydrate_metabolism
 IDH3A	Metabolism_Carbohydrate_metabolism
 IDH3B	Metabolism_Carbohydrate_metabolism
 IDH3G	Metabolism_Carbohydrate_metabolism
 L2HGDH	Metabolism_Carbohydrate_metabolism
 LDHAL6B	Metabolism_Carbohydrate_metabolism
 LDHD	Metabolism_Carbohydrate_metabolism
 MCEE	Metabolism_Carbohydrate_metabolism
 MDH2	Metabolism_Carbohydrate_metabolism
 ME2	Metabolism_Carbohydrate_metabolism
 ME3	Metabolism_Carbohydrate_metabolism
 MMUT	Metabolism_Carbohydrate_metabolism
 MPC1	Metabolism_Carbohydrate_metabolism
 MPC1L	Metabolism_Carbohydrate_metabolism
 MPC2	Metabolism_Carbohydrate_metabolism
 MRPS36	Metabolism_Carbohydrate_metabolism
 NEU4	Metabolism_Carbohydrate_metabolism
 OGDH	Metabolism_Carbohydrate_metabolism
 OGDHL	Metabolism_Carbohydrate_metabolism
 OXCT1	Metabolism_Carbohydrate_metabolism
 OXCT2	Metabolism_Carbohydrate_metabolism
 PC	Metabolism_Carbohydrate_metabolism
 PCCA	Metabolism_Carbohydrate_metabolism
 PCCB	Metabolism_Carbohydrate_metabolism
 PCK2	Metabolism_Carbohydrate_metabolism
 PDHA1	Metabolism_Carbohydrate_metabolism
 PDHA2	Metabolism_Carbohydrate_metabolism
 PDHB	Metabolism_Carbohydrate_metabolism
 PDHX	Metabolism_Carbohydrate_metabolism
 PDK1	Metabolism_Carbohydrate_metabolism
 PDK2	Metabolism_Carbohydrate_metabolism
 PDK3	Metabolism_Carbohydrate_metabolism
 PDK4	Metabolism_Carbohydrate_metabolism
 PDP1	Metabolism_Carbohydrate_metabolism
 PDP2	Metabolism_Carbohydrate_metabolism
 PDPR	Metabolism_Carbohydrate_metabolism
 RPIA	Metabolism_Carbohydrate_metabolism
 SDHA	Metabolism_Carbohydrate_metabolism
 SDHB	Metabolism_Carbohydrate_metabolism
 SDHC	Metabolism_Carbohydrate_metabolism
