Genes	MitoPathways_Hierarchy
AARS2	Mitochondrial_central_dogma
 ALKBH1	Mitochondrial_central_dogma
 ANGEL2	Mitochondrial_central_dogma
 APEX1	Mitochondrial_central_dogma
 ATAD3A	Mitochondrial_central_dogma
 ATAD3B	Mitochondrial_central_dogma
 AURKAIP1	Mitochondrial_central_dogma
 C12orf65	Mitochondrial_central_dogma
 CARS2	Mitochondrial_central_dogma
 CDK5RAP1	Mitochondrial_central_dogma
 CHCHD1	Mitochondrial_central_dogma
 COA3	Mitochondrial_central_dogma
 COX14	Mitochondrial_central_dogma
 DAP3	Mitochondrial_central_dogma
 DARS2	Mitochondrial_central_dogma
 DDX28	Mitochondrial_central_dogma
 DHX30	Mitochondrial_central_dogma
 DNA2	Mitochondrial_central_dogma
 DUS2	Mitochondrial_central_dogma
 EARS2	Mitochondrial_central_dogma
 ELAC2	Mitochondrial_central_dogma
 ENDOG	Mitochondrial_central_dogma
 ERAL1	Mitochondrial_central_dogma
 EXD2	Mitochondrial_central_dogma
 EXOG	Mitochondrial_central_dogma
 FARS2	Mitochondrial_central_dogma
 FASTK	Mitochondrial_central_dogma
 FASTKD1	Mitochondrial_central_dogma
 FASTKD2	Mitochondrial_central_dogma
 FASTKD3	Mitochondrial_central_dogma
 FASTKD5	Mitochondrial_central_dogma
 GADD45GIP1	Mitochondrial_central_dogma
 GARS1	Mitochondrial_central_dogma
 GATB	Mitochondrial_central_dogma
 GATC	Mitochondrial_central_dogma
 GFM1	Mitochondrial_central_dogma
 GFM2	Mitochondrial_central_dogma
 GRSF1	Mitochondrial_central_dogma
 GTPBP10	Mitochondrial_central_dogma
 GTPBP3	Mitochondrial_central_dogma
 GUF1	Mitochondrial_central_dogma
 HARS2	Mitochondrial_central_dogma
 HEMK1	Mitochondrial_central_dogma
 HSD17B10	Mitochondrial_central_dogma
 IARS2	Mitochondrial_central_dogma
 KARS1	Mitochondrial_central_dogma
 LACTB2	Mitochondrial_central_dogma
 LARS2	Mitochondrial_central_dogma
 LIG3	Mitochondrial_central_dogma
 LRPPRC	Mitochondrial_central_dogma
 MALSU1	Mitochondrial_central_dogma
 MARS2	Mitochondrial_central_dogma
 METAP1D	Mitochondrial_central_dogma
 METTL15	Mitochondrial_central_dogma
 METTL17	Mitochondrial_central_dogma
 METTL4	Mitochondrial_central_dogma
 METTL5	Mitochondrial_central_dogma
 METTL8	Mitochondrial_central_dogma
 MGME1	Mitochondrial_central_dogma
 MIEF1	Mitochondrial_central_dogma
 MPV17L2	Mitochondrial_central_dogma
 MRM1	Mitochondrial_central_dogma
 MRM2	Mitochondrial_central_dogma
 MRM3	Mitochondrial_central_dogma
 MRPL1	Mitochondrial_central_dogma
 MRPL10	Mitochondrial_central_dogma
 MRPL11	Mitochondrial_central_dogma
 MRPL12	Mitochondrial_central_dogma
 MRPL13	Mitochondrial_central_dogma
 MRPL14	Mitochondrial_central_dogma
 MRPL15	Mitochondrial_central_dogma
 MRPL16	Mitochondrial_central_dogma
 MRPL17	Mitochondrial_central_dogma
 MRPL18	Mitochondrial_central_dogma
 MRPL19	Mitochondrial_central_dogma
 MRPL2	Mitochondrial_central_dogma
 MRPL20	Mitochondrial_central_dogma
 MRPL21	Mitochondrial_central_dogma
 MRPL22	Mitochondrial_central_dogma
 MRPL23	Mitochondrial_central_dogma
 MRPL24	Mitochondrial_central_dogma
 MRPL27	Mitochondrial_central_dogma
 MRPL28	Mitochondrial_central_dogma
 MRPL3	Mitochondrial_central_dogma
 MRPL30	Mitochondrial_central_dogma
 MRPL32	Mitochondrial_central_dogma
 MRPL33	Mitochondrial_central_dogma
 MRPL34	Mitochondrial_central_dogma
 MRPL35	Mitochondrial_central_dogma
