Genes	MitoPathways_Hierarchy
ARL2	Mitochondrial_dynamics_and_surveillance_Fusion
 MFN1	Mitochondrial_dynamics_and_surveillance_Fusion
 MFN2	Mitochondrial_dynamics_and_surveillance_Fusion
 MIGA1	Mitochondrial_dynamics_and_surveillance_Fusion
 MIGA2	Mitochondrial_dynamics_and_surveillance_Fusion
 MTCH2	Mitochondrial_dynamics_and_surveillance_Fusion
 OMA1	Mitochondrial_dynamics_and_surveillance_Fusion
 OPA1	Mitochondrial_dynamics_and_surveillance_Fusion
 PLD6	Mitochondrial_dynamics_and_surveillance_Fusion
ARMC10	Mitochondrial_dynamics_and_surveillance_Fission
 DNM1L	Mitochondrial_dynamics_and_surveillance_Fission
 FIS1	Mitochondrial_dynamics_and_surveillance_Fission
 MFF	Mitochondrial_dynamics_and_surveillance_Fission
 MIEF1	Mitochondrial_dynamics_and_surveillance_Fission
 MIEF2	Mitochondrial_dynamics_and_surveillance_Fission
 MTFP1	Mitochondrial_dynamics_and_surveillance_Fission
 MTFR1	Mitochondrial_dynamics_and_surveillance_Fission
 MTFR2	Mitochondrial_dynamics_and_surveillance_Fission
 MUL1	Mitochondrial_dynamics_and_surveillance_Fission
 OMA1	Mitochondrial_dynamics_and_surveillance_Fission
 RAB24	Mitochondrial_dynamics_and_surveillance_Fission
 SLC25A46	Mitochondrial_dynamics_and_surveillance_Fission
 SPIRE1	Mitochondrial_dynamics_and_surveillance_Fission
 STX17	Mitochondrial_dynamics_and_surveillance_Fission
AHCYL1	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 ATAD3A	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 ATAD3B	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 FKBP8	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 FUNDC2	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 MFN1	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 MFN2	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 MIGA2	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 PIGBOS1	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 RMDN3	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 SPIRE1	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 STX17	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 SYNJ2BP	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
 VDAC1	Mitochondrial_dynamics_and_surveillance_Organelle_contact_sites
ATAD3A	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 ATAD3B	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 CHCHD3	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 DNAJC11	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 MTX1	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 MTX2	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 MTX3	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 SAMM50	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
 SLC25A46	Mitochondrial_dynamics_and_surveillance_Intramitochondrial_membrane_interactions
ARMC10	Mitochondrial_dynamics_and_surveillance_Trafficking
 ARMCX1	Mitochondrial_dynamics_and_surveillance_Trafficking
 ARMCX3	Mitochondrial_dynamics_and_surveillance_Trafficking
 MGARP	Mitochondrial_dynamics_and_surveillance_Trafficking
 MYO19	Mitochondrial_dynamics_and_surveillance_Trafficking
 RHOT1	Mitochondrial_dynamics_and_surveillance_Trafficking
 RHOT2	Mitochondrial_dynamics_and_surveillance_Trafficking
BCL2L13	Mitochondrial_dynamics_and_surveillance_Mitophagy
 FKBP8	Mitochondrial_dynamics_and_surveillance_Mitophagy
 FUNDC1	Mitochondrial_dynamics_and_surveillance_Mitophagy
 MARCHF5	Mitochondrial_dynamics_and_surveillance_Mitophagy
 NIPSNAP1	Mitochondrial_dynamics_and_surveillance_Mitophagy
 NIPSNAP2	Mitochondrial_dynamics_and_surveillance_Mitophagy
 PARK7	Mitochondrial_dynamics_and_surveillance_Mitophagy
 PARL	Mitochondrial_dynamics_and_surveillance_Mitophagy
 PGAM5	Mitochondrial_dynamics_and_surveillance_Mitophagy
 PINK1	Mitochondrial_dynamics_and_surveillance_Mitophagy
 PRKN	Mitochondrial_dynamics_and_surveillance_Mitophagy
 TOMM7	Mitochondrial_dynamics_and_surveillance_Mitophagy
 USP30	Mitochondrial_dynamics_and_surveillance_Mitophagy
 VPS13D	Mitochondrial_dynamics_and_surveillance_Mitophagy
BCL2L13	Mitochondrial_dynamics_and_surveillance_Autophagy
 FKBP8	Mitochondrial_dynamics_and_surveillance_Autophagy
 FUNDC1	Mitochondrial_dynamics_and_surveillance_Autophagy
 MARCHF5	Mitochondrial_dynamics_and_surveillance_Autophagy
 NBR1	Mitochondrial_dynamics_and_surveillance_Autophagy
 NIPSNAP1	Mitochondrial_dynamics_and_surveillance_Autophagy
 NIPSNAP2	Mitochondrial_dynamics_and_surveillance_Autophagy
 PARK7	Mitochondrial_dynamics_and_surveillance_Autophagy
 PARL	Mitochondrial_dynamics_and_surveillance_Autophagy
 PGAM5	Mitochondrial_dynamics_and_surveillance_Autophagy
 PINK1	Mitochondrial_dynamics_and_surveillance_Autophagy
 PRKN	Mitochondrial_dynamics_and_surveillance_Autophagy
 RAB24	Mitochondrial_dynamics_and_surveillance_Autophagy
 SNAP29	Mitochondrial_dynamics_and_surveillance_Autophagy
 STX17	Mitochondrial_dynamics_and_surveillance_Autophagy
 TOMM7	Mitochondrial_dynamics_and_surveillance_Autophagy
 USP30	Mitochondrial_dynamics_and_surveillance_Autophagy
 VPS13D	Mitochondrial_dynamics_and_surveillance_Autophagy
AIFM1	Mitochondrial_dynamics_and_surveillance_Apoptosis
 AIFM2	Mitochondrial_dynamics_and_surveillance_Apoptosis
 AIFM3	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BAD	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BAK1	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BAX	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BBC3	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2A1	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2L1	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2L10	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2L11	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2L13	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BCL2L2	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BID	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BIK	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BNIP3	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BNIP3L	Mitochondrial_dynamics_and_surveillance_Apoptosis
 BOK	Mitochondrial_dynamics_and_surveillance_Apoptosis
 CASP3	Mitochondrial_dynamics_and_surveillance_Apoptosis
 CASP8	Mitochondrial_dynamics_and_surveillance_Apoptosis
 CASP9	Mitochondrial_dynamics_and_surveillance_Apoptosis
 CHCHD2	Mitochondrial_dynamics_and_surveillance_Apoptosis
 CYCS	Mitochondrial_dynamics_and_surveillance_Apoptosis
 DIABLO	Mitochondrial_dynamics_and_surveillance_Apoptosis
 ENDOG	Mitochondrial_dynamics_and_surveillance_Apoptosis
 GHITM	Mitochondrial_dynamics_and_surveillance_Apoptosis
 HTRA2	Mitochondrial_dynamics_and_surveillance_Apoptosis
 IFI27	Mitochondrial_dynamics_and_surveillance_Apoptosis
 MCL1	Mitochondrial_dynamics_and_surveillance_Apoptosis
 PMAIP1	Mitochondrial_dynamics_and_surveillance_Apoptosis
 RTL10	Mitochondrial_dynamics_and_surveillance_Apoptosis
 SEPTIN4	Mitochondrial_dynamics_and_surveillance_Apoptosis
 SPHK2	Mitochondrial_dynamics_and_surveillance_Apoptosis
 STYXL1	Mitochondrial_dynamics_and_surveillance_Apoptosis
APOO	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 APOOL	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 ATP5MD	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 ATP5ME	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 ATP5MG	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 CHCHD3	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 CHCHD6	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 IMMT	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 MICOS10	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 MICOS13	Mitochondrial_dynamics_and_surveillance_Cristae_formation
 OPA1	Mitochondrial_dynamics_and_surveillance_Cristae_formation
APOO	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
 APOOL	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
 CHCHD3	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
 CHCHD6	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
 IMMT	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
 MICOS10	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
 MICOS13	Mitochondrial_dynamics_and_surveillance_Cristae_formation_MICOS_complex
