Genes	MitoPathways_Hierarchy
ATP5F1A	OXPHOS_OXPHOS_subunits
 ATP5F1B	OXPHOS_OXPHOS_subunits
 ATP5F1C	OXPHOS_OXPHOS_subunits
 ATP5F1D	OXPHOS_OXPHOS_subunits
 ATP5F1E	OXPHOS_OXPHOS_subunits
 ATP5IF1	OXPHOS_OXPHOS_subunits
 ATP5MC1	OXPHOS_OXPHOS_subunits
 ATP5MC2	OXPHOS_OXPHOS_subunits
 ATP5MC3	OXPHOS_OXPHOS_subunits
 ATP5MD	OXPHOS_OXPHOS_subunits
 ATP5ME	OXPHOS_OXPHOS_subunits
 ATP5MF	OXPHOS_OXPHOS_subunits
 ATP5MG	OXPHOS_OXPHOS_subunits
 ATP5MPL	OXPHOS_OXPHOS_subunits
 ATP5PB	OXPHOS_OXPHOS_subunits
 ATP5PD	OXPHOS_OXPHOS_subunits
 ATP5PF	OXPHOS_OXPHOS_subunits
 ATP5PO	OXPHOS_OXPHOS_subunits
 COX4I1	OXPHOS_OXPHOS_subunits
 COX4I2	OXPHOS_OXPHOS_subunits
 COX5A	OXPHOS_OXPHOS_subunits
 COX5B	OXPHOS_OXPHOS_subunits
 COX6A1	OXPHOS_OXPHOS_subunits
 COX6A2	OXPHOS_OXPHOS_subunits
 COX6B1	OXPHOS_OXPHOS_subunits
 COX6B2	OXPHOS_OXPHOS_subunits
 COX6C	OXPHOS_OXPHOS_subunits
 COX7A1	OXPHOS_OXPHOS_subunits
 COX7A2	OXPHOS_OXPHOS_subunits
 COX7A2L	OXPHOS_OXPHOS_subunits
 COX7B	OXPHOS_OXPHOS_subunits
 COX7B2	OXPHOS_OXPHOS_subunits
 COX7C	OXPHOS_OXPHOS_subunits
 COX8A	OXPHOS_OXPHOS_subunits
 COX8C	OXPHOS_OXPHOS_subunits
 CYC1	OXPHOS_OXPHOS_subunits
 CYCS	OXPHOS_OXPHOS_subunits
 DMAC2L	OXPHOS_OXPHOS_subunits
 HCCS	OXPHOS_OXPHOS_subunits
 MT-ATP6	OXPHOS_OXPHOS_subunits
 MT-ATP8	OXPHOS_OXPHOS_subunits
 MT-CO1	OXPHOS_OXPHOS_subunits
 MT-CO2	OXPHOS_OXPHOS_subunits
 MT-CO3	OXPHOS_OXPHOS_subunits
 MT-CYB	OXPHOS_OXPHOS_subunits
 MT-ND1	OXPHOS_OXPHOS_subunits
 MT-ND2	OXPHOS_OXPHOS_subunits
 MT-ND3	OXPHOS_OXPHOS_subunits
 MT-ND4	OXPHOS_OXPHOS_subunits
 MT-ND4L	OXPHOS_OXPHOS_subunits
 MT-ND5	OXPHOS_OXPHOS_subunits
 MT-ND6	OXPHOS_OXPHOS_subunits
 NDUFA1	OXPHOS_OXPHOS_subunits
 NDUFA10	OXPHOS_OXPHOS_subunits
 NDUFA11	OXPHOS_OXPHOS_subunits
 NDUFA12	OXPHOS_OXPHOS_subunits
 NDUFA13	OXPHOS_OXPHOS_subunits
 NDUFA2	OXPHOS_OXPHOS_subunits
 NDUFA3	OXPHOS_OXPHOS_subunits
 NDUFA4	OXPHOS_OXPHOS_subunits
 NDUFA5	OXPHOS_OXPHOS_subunits
 NDUFA6	OXPHOS_OXPHOS_subunits
 NDUFA7	OXPHOS_OXPHOS_subunits
 NDUFA8	OXPHOS_OXPHOS_subunits
 NDUFA9	OXPHOS_OXPHOS_subunits
 NDUFAB1	OXPHOS_OXPHOS_subunits
 NDUFB1	OXPHOS_OXPHOS_subunits
 NDUFB10	OXPHOS_OXPHOS_subunits
 NDUFB11	OXPHOS_OXPHOS_subunits
 NDUFB2	OXPHOS_OXPHOS_subunits
 NDUFB3	OXPHOS_OXPHOS_subunits
 NDUFB4	OXPHOS_OXPHOS_subunits
