Genes	MitoPathways_Hierarchy
AGK	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 AIFM1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 CHCHD4	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 DNAJC11	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 DNAJC15	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 DNAJC19	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 GFER	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 GRPEL1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 GRPEL2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 IMMP1L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 IMMP2L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 MIPEP	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 MTX1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 MTX2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 NRDC	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 OXA1L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 PAM16	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 PMPCA	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 PMPCB	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 ROMO1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 SAMM50	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM10	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM10B	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM13	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM17A	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM17B	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM21	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM22	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM23	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM29	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM44	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM50	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM8A	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM8B	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TIMM9	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM20	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM20L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM22	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM34	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM40	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM40L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM5	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM6	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM7	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 TOMM70	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 UQCRC1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 UQCRC2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
 XPNPEP3	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting
TOMM20	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM22	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM34	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM40	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM40L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM5	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM6	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM7	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
 TOMM70	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TOM
MTX1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_SAM
 MTX2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_SAM
 SAMM50	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_SAM
AIFM1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_MIA40
 CHCHD4	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_MIA40
 GFER	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_MIA40
AGK	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM22_carrier_pathway
 TIMM22	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM22_carrier_pathway
 TIMM29	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM22_carrier_pathway
ROMO1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM23_presequence_pathway
 TIMM17A	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM23_presequence_pathway
 TIMM17B	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM23_presequence_pathway
 TIMM21	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM23_presequence_pathway
 TIMM23	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM23_presequence_pathway
 TIMM50	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_TIM23_presequence_pathway
DNAJC15	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
 DNAJC19	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
 GRPEL1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
 GRPEL2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
 PAM16	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
 TIMM44	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
OXA1L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_OXA
IMMP1L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 IMMP2L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 MIPEP	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 PMPCA	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 PMPCB	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 UQCRC1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 UQCRC2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 XPNPEP3	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
AFG1L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 AFG3L2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 ATAD1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 ATP23	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CASP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CASP8	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CASP9	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CLPB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CLPP	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CLPX	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 DNAJA3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 DNAJC4	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 DNLZ	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 FKBP10	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 HSPD1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 HSPE1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 HTRA2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 IDE	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 IMMP1L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 IMMP2L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 LACTB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
