Genes	MitoPathways_Hierarchy
EFHD1	Signaling_Calcium_homeostasis
 LETM1	Signaling_Calcium_homeostasis
 MCU	Signaling_Calcium_homeostasis
 MCUB	Signaling_Calcium_homeostasis
 MICU1	Signaling_Calcium_homeostasis
 MICU2	Signaling_Calcium_homeostasis
 MICU3	Signaling_Calcium_homeostasis
 PPIF	Signaling_Calcium_homeostasis
 RHOT1	Signaling_Calcium_homeostasis
 RHOT2	Signaling_Calcium_homeostasis
 SLC25A12	Signaling_Calcium_homeostasis
 SLC25A13	Signaling_Calcium_homeostasis
 SLC25A23	Signaling_Calcium_homeostasis
 SLC25A24	Signaling_Calcium_homeostasis
 SLC25A25	Signaling_Calcium_homeostasis
 SLC25A3	Signaling_Calcium_homeostasis
 SLC25A31	Signaling_Calcium_homeostasis
 SLC25A4	Signaling_Calcium_homeostasis
 SLC25A5	Signaling_Calcium_homeostasis
 SLC25A6	Signaling_Calcium_homeostasis
 SLC8B1	Signaling_Calcium_homeostasis
 SMDT1	Signaling_Calcium_homeostasis
 VDAC1	Signaling_Calcium_homeostasis
 VDAC3	Signaling_Calcium_homeostasis
LETM1	Signaling_Calcium_homeostasis_Calcium_cycle
 MCU	Signaling_Calcium_homeostasis_Calcium_cycle
 MCUB	Signaling_Calcium_homeostasis_Calcium_cycle
 MICU1	Signaling_Calcium_homeostasis_Calcium_cycle
 MICU2	Signaling_Calcium_homeostasis_Calcium_cycle
 MICU3	Signaling_Calcium_homeostasis_Calcium_cycle
 SLC25A3	Signaling_Calcium_homeostasis_Calcium_cycle
 SLC8B1	Signaling_Calcium_homeostasis_Calcium_cycle
 SMDT1	Signaling_Calcium_homeostasis_Calcium_cycle
PPIF	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
 SLC25A31	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
 SLC25A4	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
 SLC25A5	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
 SLC25A6	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
 VDAC1	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
 VDAC3	Signaling_Calcium_homeostasis_Mitochondrial_permeability_transition_pore
EFHD1	Signaling_Calcium_homeostasis_EF_hand_proteins
 MICU1	Signaling_Calcium_homeostasis_EF_hand_proteins
 MICU2	Signaling_Calcium_homeostasis_EF_hand_proteins
 MICU3	Signaling_Calcium_homeostasis_EF_hand_proteins
 RHOT1	Signaling_Calcium_homeostasis_EF_hand_proteins
 RHOT2	Signaling_Calcium_homeostasis_EF_hand_proteins
 SLC25A12	Signaling_Calcium_homeostasis_EF_hand_proteins
 SLC25A13	Signaling_Calcium_homeostasis_EF_hand_proteins
 SLC25A23	Signaling_Calcium_homeostasis_EF_hand_proteins
 SLC25A24	Signaling_Calcium_homeostasis_EF_hand_proteins
 SLC25A25	Signaling_Calcium_homeostasis_EF_hand_proteins
ACOD1	Signaling_Immune_response
 C1QBP	Signaling_Immune_response
 IFI27	Signaling_Immune_response
 MAVS	Signaling_Immune_response
 NLRX1	Signaling_Immune_response
ADCY10	Signaling_cAMP_PKA_signaling
