Genes	MitoPathways_Hierarchy
MTCH1	Small_molecule_transport_SLC25A_family
 MTCH2	Small_molecule_transport_SLC25A_family
 SLC25A1	Small_molecule_transport_SLC25A_family
 SLC25A10	Small_molecule_transport_SLC25A_family
 SLC25A11	Small_molecule_transport_SLC25A_family
 SLC25A12	Small_molecule_transport_SLC25A_family
 SLC25A13	Small_molecule_transport_SLC25A_family
 SLC25A14	Small_molecule_transport_SLC25A_family
 SLC25A15	Small_molecule_transport_SLC25A_family
 SLC25A16	Small_molecule_transport_SLC25A_family
 SLC25A18	Small_molecule_transport_SLC25A_family
 SLC25A19	Small_molecule_transport_SLC25A_family
 SLC25A20	Small_molecule_transport_SLC25A_family
 SLC25A21	Small_molecule_transport_SLC25A_family
 SLC25A22	Small_molecule_transport_SLC25A_family
 SLC25A23	Small_molecule_transport_SLC25A_family
 SLC25A24	Small_molecule_transport_SLC25A_family
 SLC25A25	Small_molecule_transport_SLC25A_family
 SLC25A26	Small_molecule_transport_SLC25A_family
 SLC25A27	Small_molecule_transport_SLC25A_family
 SLC25A28	Small_molecule_transport_SLC25A_family
 SLC25A29	Small_molecule_transport_SLC25A_family
 SLC25A3	Small_molecule_transport_SLC25A_family
 SLC25A30	Small_molecule_transport_SLC25A_family
 SLC25A31	Small_molecule_transport_SLC25A_family
 SLC25A32	Small_molecule_transport_SLC25A_family
 SLC25A33	Small_molecule_transport_SLC25A_family
 SLC25A34	Small_molecule_transport_SLC25A_family
 SLC25A35	Small_molecule_transport_SLC25A_family
 SLC25A36	Small_molecule_transport_SLC25A_family
 SLC25A37	Small_molecule_transport_SLC25A_family
 SLC25A38	Small_molecule_transport_SLC25A_family
 SLC25A39	Small_molecule_transport_SLC25A_family
 SLC25A4	Small_molecule_transport_SLC25A_family
 SLC25A40	Small_molecule_transport_SLC25A_family
 SLC25A41	Small_molecule_transport_SLC25A_family
 SLC25A42	Small_molecule_transport_SLC25A_family
 SLC25A43	Small_molecule_transport_SLC25A_family
 SLC25A44	Small_molecule_transport_SLC25A_family
 SLC25A45	Small_molecule_transport_SLC25A_family
 SLC25A46	Small_molecule_transport_SLC25A_family
 SLC25A47	Small_molecule_transport_SLC25A_family
 SLC25A48	Small_molecule_transport_SLC25A_family
 SLC25A5	Small_molecule_transport_SLC25A_family
 SLC25A51	Small_molecule_transport_SLC25A_family
 SLC25A52	Small_molecule_transport_SLC25A_family
 SLC25A53	Small_molecule_transport_SLC25A_family
 SLC25A6	Small_molecule_transport_SLC25A_family
 UCP1	Small_molecule_transport_SLC25A_family
 UCP2	Small_molecule_transport_SLC25A_family
 UCP3	Small_molecule_transport_SLC25A_family
ABCA9	Small_molecule_transport_ABC_transporters
 ABCB10	Small_molecule_transport_ABC_transporters
 ABCB6	Small_molecule_transport_ABC_transporters
 ABCB7	Small_molecule_transport_ABC_transporters
 ABCB8	Small_molecule_transport_ABC_transporters
 ABCD1	Small_molecule_transport_ABC_transporters
 ABCD2	Small_molecule_transport_ABC_transporters
 ABCD3	Small_molecule_transport_ABC_transporters
SFXN1	Small_molecule_transport_Sideroflexins
 SFXN2	Small_molecule_transport_Sideroflexins
 SFXN3	Small_molecule_transport_Sideroflexins
 SFXN4	Small_molecule_transport_Sideroflexins
 SFXN5	Small_molecule_transport_Sideroflexins
MCU	Small_molecule_transport_Calcium_uniporter
 MCUB	Small_molecule_transport_Calcium_uniporter
 MICU1	Small_molecule_transport_Calcium_uniporter
 MICU2	Small_molecule_transport_Calcium_uniporter
 MICU3	Small_molecule_transport_Calcium_uniporter
 SMDT1	Small_molecule_transport_Calcium_uniporter
ACOD1	Signaling
 ADCY10	Signaling
 AKAP1	Signaling
 AKAP10	Signaling
 BLOC1S1	Signaling
 C1QBP	Signaling
 CSKMT	Signaling
 DELE1	Signaling
 EFHD1	Signaling
 FUNDC2	Signaling
 IFI27	Signaling
 LETM1	Signaling
 LYPLA1	Signaling
 MACROD1	Signaling
 MAVS	Signaling
 MCRIP2	Signaling
 MCU	Signaling
 MCUB	Signaling
 MICU1	Signaling
 MICU2	Signaling
 MICU3	Signaling
 MRS2	Signaling
 MUL1	Signaling
 NLRX1	Signaling
 OCIAD2	Signaling
 PDE2A	Signaling
 PINK1	Signaling
 PPIF	Signaling
 PPTC7	Signaling
 PRKACA	Signaling
 RHOT1	Signaling
 RHOT2	Signaling
 SIRT3	Signaling
 SLC25A12	Signaling
 SLC25A13	Signaling
 SLC25A23	Signaling
 SLC25A24	Signaling
 SLC25A25	Signaling
 SLC25A3	Signaling
 SLC25A31	Signaling
 SLC25A4	Signaling
 SLC25A5	Signaling
 SLC25A6	Signaling
 SLC8B1	Signaling
 SMDT1	Signaling
 SPHKAP	Signaling
 VDAC1	Signaling
 VDAC3	Signaling
